player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Jermaine Burton,CIN,23,WR,38.04,14.7,23.34,148.67,128.0,,,-1.65,0.22,,
Rakim Jarrett,TB,23,WR,36.99,10.7,26.29,224.72,129.0,,,-0.95,0.32,,
Brandon Powell,MIN,29,WR,36.78,14.1,22.68,150.17,130.0,,,-0.05,0.09,,
Jha'Quan Jackson,TEN,24,WR,34.97,1.3,33.67,1463.95,131.0,,,,0.3,,
Derius Davis,LAC,24,WR,33.9,40.1,-6.2,-15.08,132.0,,,-4.7,0.31,,
Laviska Shenault,SEA,26,WR,33.4,8.7,24.7,254.68,133.0,,,0.4,0.14,,
D'Wayne Eskridge,MIA,27,WR,33.21,1.8,31.41,1121.96,134.0,,,,0.03,,
Sterling Shepard,TB,31,WR,32.7,54.4,-21.7,-39.16,135.0,,,-0.25,0.63,,
Marquise Brown,KC,27,WR,31.51,8.0,23.51,261.18,136.0,,,0.75,0.73,,
Jamison Crowder,WAS,31,WR,30.39,5.9,24.49,354.96,137.0,,,-0.05,0.29,,
Tyler Scott,CHI,23,WR,28.78,1.5,27.28,1091.17,138.0,,,,0.06,,
Rashid Shaheed,NO,26,WR,28.28,67.8,-39.52,-57.44,139.0,,,-9.7,0.81,,
Diontae Johnson,CAR,28,WR,25.89,74.3,-48.41,-64.29,140.0,,,-2.6,0.7,,
Trent Sherfield,MIN,28,WR,25.18,20.3,4.88,22.89,141.0,,,-0.25,0.16,,
Charlie Jones,CIN,26,WR,22.71,1.5,21.21,848.36,142.0,,,,0.16,,
DeAndre Carter,CHI,31,WR,21.64,14.2,7.44,48.93,143.0,,,-0.85,0.02,,
Odell Beckham,MIA,32,WR,20.17,14.5,5.67,36.59,144.0,3.0,-141.0,0.55,0.14,326.0,0.06
Gabe Davis,JAX,25,WR,18.99,49.6,-30.61,-60.49,145.0,1.0,-144.0,-0.5,0.54,288.0,0.07
Jordan Addison,MIN,22,WR,15.5,208.5,-193.0,-92.13,146.0,,,-6.75,0.89,,
Devontez Walker,BAL,23,WR,7.23,9.1,-1.87,-18.49,147.0,,,,0.25,,
Mecole Hardman,KC,26,WR,5.9,33.2,-27.3,-79.82,148.0,,,0.1,0.05,,
Xavier Gipson,NYJ,23,WR,4.92,16.4,-11.48,-65.99,149.0,,,-1.1,0.06,,
Malachi Corley,NYJ,22,WR,4.23,4.2,0.03,0.5,150.0,,,-0.2,0.6,,
Bo Melton,GB,25,WR,4.11,20.5,-16.39,-76.22,151.0,,,-0.65,0.4,,
Devin Duvernay,JAX,27,WR,4.07,1.9,2.17,74.88,152.0,,,-0.05,0.12,,
George Pickens,PIT,23,WR,2.7,159.4,-156.7,-97.69,153.0,,,-6.7,0.92,,
Ronnie Bell,SF,24,WR,2.69,2.2,0.49,15.31,154.0,,,-1.1,0.22,,
Adonai Mitchell,IND,22,WR,2.61,52.76,-50.15,-93.28,155.0,,,-2.3,0.21,,
Scott Miller,PIT,27,WR,2.25,11.9,-9.65,-74.81,156.0,,,0.0,0.23,,
Darius Slayton,NYG,27,WR,2.12,106.0,-103.88,-97.08,157.0,,,-1.85,0.91,,
Johnny Wilson,PHI,23,WR,1.69,0.0,1.69,168.53,158.0,,,0.0,0.11,,
Calvin Austin,PIT,25,WR,1.54,114.8,-113.26,-97.8,159.0,,,-5.25,0.66,,
Kalif Raymond,DET,30,WR,1.5,48.4,-46.9,-94.94,160.0,,,-0.5,0.14,,
Trenton Irwin,CIN,29,WR,1.45,4.5,-3.05,-55.52,161.0,,,-0.75,0.3,,
Nelson Agholor,BAL,31,WR,1.38,0.0,1.38,137.59,162.0,4.0,-158.0,0.0,0.44,555.0,0.0
Casey Washington,ATL,23,WR,1.22,2.4,-1.18,-34.65,163.0,,,,0.03,,
Justin Watson,KC,28,WR,1.11,0.0,1.11,110.77,164.0,,,-0.75,0.18,,
Christian Watson,GB,25,WR,0.98,98.3,-97.32,-98.0,165.0,,,-4.3,0.15,,
Skyy Moore,KC,24,WR,0.88,0.0,0.88,87.51,166.0,,,,0.47,,
Ashton Dulin,IND,27,WR,0.65,17.2,-16.55,-90.95,167.0,,,-0.85,0.18,,
Ja'Lynn Polk,NE,22,WR,0.56,30.7,-30.14,-95.07,168.0,,,-0.0,0.23,,
Simi Fehoko,LAC,27,WR,0.2,16.6,-16.4,-93.16,169.0,,,-3.75,0.16,,
Steven Sims,HOU,27,WR,0.11,0.0,0.11,11.36,170.0,,,,0.03,,
K.J. Osborn,NE,27,WR,0.0,18.7,-18.7,-94.92,171.0,,,-5.3,0.45,,
Tyler Johnson,LA,26,WR,0.0,45.6,-45.6,-97.85,171.0,,,-2.75,0.14,,
Dareke Young,SEA,25,WR,0.0,0.0,0.0,0.0,171.0,,,,0.1,,
Luke McCaffrey,WAS,23,WR,0.0,0.0,0.0,0.0,171.0,,,-0.5,0.15,,
Jalin Hyatt,NYG,23,WR,0.0,10.2,-10.2,-91.07,171.0,,,-1.0,0.34,,
Britain Covey,PHI,27,WR,0.0,10.4,-10.4,-91.23,171.0,,,-4.15,0.14,,
Tom Kennedy,DET,28,WR,0.0,0.0,0.0,0.0,171.0,,,,0.06,,
Braxton Berrios,MIA,29,WR,0.0,0.0,0.0,0.0,171.0,,,-0.0,0.28,,
