player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Kendre Miller,NO,22,RB,51.38,2.9,48.48,1243.2,70.0,,,,0.13,,
MarShawn Lloyd,GB,23,RB,49.5,2.8,46.7,1229.07,71.0,,,,0.14,,
James Conner,ARI,29,RB,48.0,250.8,-202.8,-80.54,72.0,,,-14.0,0.15,,
Ty Johnson,BUF,27,RB,47.61,7.8,39.81,452.34,73.0,,,0.3,0.41,,
Devin Singletary,NYG,27,RB,47.32,90.6,-43.28,-47.25,74.0,,,0.75,0.3,,
Kareem Hunt,KC,29,RB,42.98,28.0,14.98,51.65,75.0,,,-4.6,0.2,,
Zamir White,LV,25,RB,42.95,27.3,15.65,55.31,76.0,,,0.5,0.34,,
Kimani Vidal,LAC,23,RB,41.91,32.7,9.21,27.32,77.0,,,-0.9,0.11,,
Trey Benson,ARI,22,RB,41.48,47.0,-5.52,-11.51,78.0,,,0.1,0.16,,
Dameon Pierce,HOU,24,RB,40.26,1.0,39.26,1962.98,79.0,,,-0.15,0.21,,
Craig Reynolds,DET,28,RB,39.66,18.9,20.76,104.33,80.0,,,-0.7,0.34,,
Myles Gaskin,MIN,27,RB,39.57,2.3,37.27,1129.48,81.0,,,,0.07,,
Isiah Pacheco,KC,25,RB,38.57,8.4,30.17,320.96,82.0,,,0.2,0.41,,
Jerome Ford,CLE,25,RB,37.5,134.0,-96.5,-71.48,83.0,,,-8.1,0.19,,
Jaylen Warren,PIT,26,RB,34.87,123.1,-88.23,-71.09,84.0,,,-6.05,0.38,,
Eric Gray,NYG,25,RB,32.69,18.3,14.39,74.54,85.0,,,-0.3,0.11,,
Sean Tucker,TB,23,RB,31.19,68.7,-37.51,-53.81,86.0,,,-0.05,0.07,,
Dare Ogunbowale,HOU,30,RB,30.76,1.9,28.86,995.03,87.0,,,-0.45,0.31,,
Jase McClellan,ATL,22,RB,30.21,1.7,28.51,1055.83,88.0,,,,0.08,,
Trey Sermon,IND,25,RB,26.15,53.8,-27.65,-50.46,89.0,,,-0.5,0.21,,
Keaton Mitchell,BAL,22,RB,23.16,6.8,16.36,209.8,90.0,,,,0.21,,
Julius Chestnut,TEN,24,RB,18.71,11.3,7.41,60.22,91.0,,,-0.2,0.24,,
Kenneth Gainwell,PHI,25,RB,16.49,8.4,8.09,86.09,92.0,,,-1.0,0.19,,
Samaje Perine,KC,29,RB,14.26,3.5,10.76,239.08,93.0,,,0.4,0.39,,
Isaac Guerendo,SF,24,RB,14.19,96.2,-82.01,-84.37,94.0,,,-5.5,0.05,,
Ty Chandler,MIN,26,RB,13.54,28.4,-14.86,-50.54,95.0,,,0.25,0.1,,
Travis Homer,CHI,26,RB,12.89,6.4,6.49,87.75,96.0,,,0.05,0.25,,
Ray Davis,BUF,25,RB,7.21,9.3,-2.09,-20.25,97.0,,,-7.05,0.12,,
Miles Sanders,CAR,27,RB,6.33,48.7,-42.37,-85.24,98.0,,,-5.5,0.1,,
Ezekiel Elliott,DAL,29,RB,2.71,51.3,-48.59,-92.9,99.0,2.0,-97.0,-2.45,0.16,290.0,0.01
Joshua Kelley,TEN,27,RB,2.47,0.2,2.27,188.83,100.0,,,,0.03,,
Rhamondre Stevenson,NE,26,RB,0.7,142.5,-141.8,-98.81,101.0,,,-4.7,0.45,,
Cordarrelle Patterson,PIT,33,RB,0.0,34.5,-34.5,-97.18,102.0,3.0,-99.0,-4.05,0.13,481.0,0.0
Rasheen Ali,BAL,23,RB,0.0,3.1,-3.1,-75.61,102.0,,,-0.1,0.07,,
Dylan Laube,LV,25,RB,0.0,-3.0,3.0,-150.0,102.0,,,,0.02,,
Jeffery Wilson,MIA,29,RB,0.0,10.6,-10.6,-91.38,102.0,,,-0.8,0.19,,
Jaylen Wright,MIA,21,RB,0.0,25.7,-25.7,-96.25,102.0,,,-1.85,0.13,,
Nick Chubb,CLE,29,RB,0.0,38.4,-38.4,-97.46,102.0,,,-6.7,0.34,,
