player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Kenny Yeboah,NYJ,26,TE,67.54,13.5,54.04,372.68,47.0,,,2.0,0.39,,
Hunter Long,LA,26,TE,67.33,9.4,57.93,557.0,48.0,,,1.85,0.34,,
Harrison Bryant,LV,26,TE,66.57,11.4,55.17,444.93,49.0,,,-0.1,0.29,,
Luke Schoonmaker,DAL,26,TE,62.04,57.1,4.94,8.51,50.0,,,-0.3,0.46,,
Kyle Pitts,ATL,24,TE,62.01,123.2,-61.19,-49.26,51.0,,,1.9,0.44,,
Ben Sinnott,WAS,22,TE,61.64,3.3,58.34,1356.63,52.0,,,1.0,0.01,,
Josh Oliver,MIN,27,TE,61.25,62.2,-0.95,-1.5,53.0,,,-1.4,0.46,,
Andrew Ogletree,IND,26,TE,55.73,23.9,31.83,127.84,54.0,,,-0.05,0.41,,
Dalton Kincaid,BUF,25,TE,54.23,5.4,48.83,762.92,55.0,,,-0.55,0.45,,
Jaheim Bell,NE,23,TE,53.74,4.0,49.74,994.72,56.0,,,0.9,0.47,,
Grant Calcaterra,PHI,26,TE,53.38,59.8,-6.42,-10.56,57.0,,,-0.1,0.34,,
John Bates,WAS,27,TE,53.04,6.1,46.94,661.19,58.0,,,1.55,0.27,,
Daniel Bellinger,NYG,24,TE,52.05,26.5,25.55,92.92,59.0,,,-1.8,0.58,,
Tip Reiman,ARI,23,TE,52.01,9.7,42.31,395.41,60.0,,,0.45,0.43,,
Jake Ferguson,DAL,25,TE,51.53,102.4,-50.87,-49.2,61.0,,,-3.4,0.59,,
T.J. Hockenson,MIN,27,TE,50.81,78.8,-27.99,-35.08,62.0,,,-0.9,0.78,,
Chris Manhertz,NYG,32,TE,43.74,12.0,31.74,244.12,63.0,,,-2.3,0.49,,
Cole Kmet,CHI,25,TE,40.65,116.4,-75.75,-64.53,64.0,,,-0.05,0.98,,
Peyton Hendershot,KC,25,TE,38.04,2.1,35.94,1159.37,65.0,,,,0.11,,
Darnell Washington,PIT,23,TE,34.06,43.0,-8.94,-20.32,66.0,,,-0.1,0.35,,
Connor Heyward,PIT,25,TE,31.52,16.0,15.52,91.32,67.0,,,0.2,0.28,,
Jared Wiley,KC,24,TE,31.04,1.7,29.34,1086.57,68.0,,,,0.18,,
Marcedes Lewis,CHI,40,TE,28.99,1.2,27.79,1263.29,69.0,,,,0.2,,
Dawson Knox,BUF,28,TE,28.15,2.7,25.45,687.76,70.0,,,0.15,0.6,,
Charlie Kolar,BAL,25,TE,27.16,28.3,-1.14,-3.9,71.0,,,-0.15,0.49,,
Ross Dwelley,ATL,29,TE,26.86,1.5,25.36,1014.41,72.0,,,,0.44,,
Jack Stoll,PHI,26,TE,26.65,1.6,25.05,963.29,73.0,,,,0.57,,
Johnny Mundt,MIN,30,TE,26.37,45.2,-18.83,-40.75,74.0,,,-4.25,0.11,,
Jeremy Ruckert,NYJ,24,TE,25.84,28.5,-2.66,-9.0,75.0,,,-0.35,0.48,,
Cade Stover,HOU,24,TE,25.63,33.2,-7.57,-22.13,76.0,,,-1.05,0.59,,
Adam Trautman,DEN,27,TE,25.47,43.8,-18.33,-40.92,77.0,,,-4.25,0.48,,
Charlie Woerner,ATL,27,TE,24.88,9.6,15.28,144.19,78.0,,,0.45,0.53,,
John FitzPatrick,GB,24,TE,24.57,1.2,23.37,1062.27,79.0,,,,0.19,,
Ben Sims,GB,24,TE,23.95,8.2,15.75,171.22,80.0,,,-0.0,0.36,,
Luke Farrell,JAX,27,TE,22.9,16.7,6.2,35.03,81.0,,,0.7,0.45,,
Irv Smith,HOU,26,TE,22.27,1.2,21.07,957.91,82.0,,,,0.31,,
